frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
11,7.03,7.1,2.48,2.46,6.27,1.84,12.24,-0.01,0.104,-0.1
12,7.03,7.11,2.53,2.52,6.34,1.68,11.82,0.0,0.118,-0.15
13,6.84,6.94,2.52,2.55,6.34,1.92,11.67,0.01,0.14,-0.22
14,6.9,6.99,2.52,2.56,6.32,1.8,11.36,0.03,0.15,-0.26
15,6.7,6.8,2.62,2.68,6.21,1.82,11.23,0.05,0.144,-0.28
16,6.75,6.85,2.71,2.79,6.13,1.9,11.19,0.05,0.154,-0.28
17,6.72,6.84,2.8,2.88,6.17,1.85,11.29,0.05,0.158,-0.29
18,6.78,6.89,2.77,2.87,6.1,1.97,11.16,0.05,0.16,-0.29
19,6.73,6.84,2.7,2.78,6.14,1.78,10.93,0.04,0.171,-0.29
20,6.59,6.69,2.66,2.74,6.08,1.6,10.85,0.04,0.187,-0.29
21,6.7,6.81,2.67,2.75,6.14,1.59,10.82,0.04,0.189,-0.27
22,6.58,6.69,2.86,2.93,6.1,1.89,11.02,0.03,0.199,-0.26
23,6.56,6.68,2.69,2.78,6.16,1.77,10.87,0.02,0.212,-0.26
24,6.58,6.68,2.87,2.95,6.15,1.96,11.11,0.02,0.218,-0.25
25,6.75,6.86,2.42,2.51,6.15,1.64,11.1,0.02,0.218,-0.26
26,6.52,6.64,2.69,2.77,6.24,1.97,11.33,0.01,0.227,-0.26
27,6.54,6.64,2.82,2.88,6.22,1.74,11.26,0.0,0.235,-0.27
28,6.52,6.61,2.73,2.82,6.16,1.64,11.06,0.01,0.227,-0.26
29,6.55,6.66,2.56,2.64,6.11,1.34,10.82,0.02,0.213,-0.27
30,6.55,6.66,2.56,2.64,6.11,1.34,10.82,0.02,0.213,-0.27
31,6.74,6.82,2.51,2.52,6.21,1.33,10.95,0.02,0.212,-0.26
32,7.29,7.32,2.34,2.32,6.05,1.33,11.19,0.02,0.216,-0.25
33,7.53,7.57,2.08,2.02,5.88,1.29,11.39,0.01,0.221,-0.25
34,7.33,7.42,2.37,2.35,5.88,1.2,11.83,0.0,0.213,-0.22
35,7.36,7.41,2.05,1.99,5.96,1.23,11.84,-0.01,0.217,-0.19
36,7.02,7.06,2.36,2.3,5.98,1.26,11.25,-0.03,0.219,-0.17
37,7.02,7.06,2.36,2.3,5.98,1.26,11.25,-0.03,0.219,-0.17
38,7.05,7.12,2.26,2.23,6.12,1.24,11.13,-0.04,0.219,-0.14
39,7.02,7.05,2.61,2.55,6.11,1.41,11.24,-0.05,0.222,-0.13
40,6.87,6.94,2.48,2.44,6.2,1.51,11.31,-0.05,0.222,-0.11
41,6.86,6.95,2.47,2.46,6.19,1.46,11.34,-0.05,0.215,-0.09
42,6.82,6.91,2.85,2.83,6.18,1.91,11.68,-0.07,0.217,-0.08
43,6.77,6.86,2.55,2.5,6.15,1.54,11.43,-0.08,0.224,-0.07
44,6.74,6.84,2.78,2.77,6.27,2.04,12.33,-0.07,0.224,-0.06
45,6.79,6.89,2.64,2.61,6.19,1.64,11.95,-0.08,0.215,-0.05
46,6.73,6.83,2.89,2.88,6.17,2.16,11.66,-0.07,0.21,-0.06
47,6.86,6.95,2.51,2.51,6.17,1.91,11.03,-0.07,0.209,-0.06
48,6.83,6.92,2.71,2.71,6.09,1.88,11.14,-0.07,0.214,-0.06
49,6.82,6.92,2.73,2.73,6.15,1.66,11.23,-0.08,0.217,-0.05
50,6.84,6.93,2.77,2.75,6.1,1.81,11.47,-0.07,0.225,-0.06
51,6.82,6.89,2.93,2.9,6.12,1.57,11.65,-0.08,0.232,-0.06
52,6.91,7.01,2.64,2.59,6.23,2.08,12.25,-0.08,0.243,-0.06
53,6.81,6.9,2.79,2.74,6.29,1.7,12.61,-0.09,0.244,-0.05
54,6.8,6.92,2.7,2.66,6.34,2.1,12.75,-0.08,0.243,-0.05
55,6.77,6.88,2.74,2.69,6.34,1.72,12.86,-0.08,0.242,-0.05
56,6.81,6.92,2.75,2.72,6.3,1.7,12.92,-0.08,0.238,-0.05
57,6.81,6.92,2.75,2.72,6.3,1.7,12.92,-0.08,0.238,-0.05
58,6.91,7.03,2.67,2.66,6.34,2.02,12.91,-0.06,0.236,-0.04
59,6.91,7.03,2.67,2.66,6.34,2.02,12.91,-0.06,0.236,-0.04
60,6.73,6.84,2.69,2.67,6.3,1.64,12.79,-0.08,0.237,-0.05
61,6.85,6.96,2.67,2.65,6.25,1.64,12.58,-0.07,0.235,-0.05
62,7.0,7.1,2.8,2.78,6.16,2.01,12.29,-0.06,0.237,-0.05
63,6.94,7.03,2.76,2.73,6.16,1.54,12.34,-0.06,0.238,-0.05
64,6.98,7.06,2.72,2.7,6.19,2.02,12.02,-0.06,0.238,-0.05
65,6.89,6.97,2.83,2.79,6.19,1.55,12.02,-0.07,0.241,-0.06
66,6.87,6.96,2.77,2.74,6.22,2.06,12.11,-0.07,0.242,-0.05
67,6.79,6.87,2.94,2.92,6.18,1.51,11.97,-0.07,0.243,-0.06
68,6.97,7.07,2.78,2.74,6.21,1.99,12.14,-0.07,0.246,-0.06
69,6.91,7.01,2.75,2.72,6.17,1.55,11.89,-0.08,0.243,-0.06
70,6.83,6.93,2.89,2.86,6.2,1.98,12.29,-0.07,0.245,-0.06
71,6.85,6.95,2.83,2.8,6.13,1.5,11.85,-0.07,0.241,-0.06
72,6.9,7.0,2.82,2.78,6.11,1.96,12.36,-0.08,0.243,-0.06
73,6.88,6.97,2.92,2.9,6.18,1.94,12.16,-0.07,0.243,-0.06
74,6.97,7.04,2.86,2.83,6.08,1.49,11.86,-0.07,0.241,-0.06
75,6.96,7.04,2.78,2.76,6.16,1.95,12.17,-0.06,0.243,-0.06
76,6.92,6.99,2.91,2.88,6.12,1.48,11.81,-0.07,0.242,-0.07
77,6.96,7.05,2.82,2.8,6.16,2.01,12.13,-0.06,0.24,-0.06
78,7.05,7.14,2.5,2.49,6.17,1.42,11.62,-0.06,0.232,-0.05
79,7.05,7.14,2.5,2.49,6.17,1.42,11.62,-0.06,0.232,-0.05
80,6.94,7.04,2.94,2.94,6.09,1.38,11.54,-0.07,0.219,-0.04
81,6.97,7.08,2.83,2.86,6.13,1.84,11.62,-0.06,0.215,-0.03
82,6.92,7.01,3.09,3.12,5.97,1.39,11.03,-0.07,0.196,-0.03
83,7.1,7.21,2.83,2.85,6.01,1.72,11.1,-0.08,0.199,-0.03
84,7.2,7.29,2.84,2.86,5.96,1.32,10.93,-0.08,0.191,-0.03
85,6.92,6.97,2.94,2.92,5.94,1.36,10.83,-0.09,0.188,-0.02
86,6.92,7.0,2.85,2.8,5.9,1.28,10.76,-0.1,0.181,-0.03
87,7.02,7.07,2.79,2.73,5.94,1.49,11.08,-0.11,0.181,-0.02
88,7.04,7.09,2.73,2.66,6.06,1.2,11.18,-0.12,0.174,-0.02
89,7.08,7.14,2.69,2.61,6.13,1.37,12.37,-0.12,0.178,-0.01
90,7.16,7.23,2.52,2.44,6.13,1.32,13.25,-0.11,0.181,-0.01
1,6.91,7.0,2.58,2.52,6.15,1.23,13.3,-0.1,0.168,-0.01
