frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
181,9.7,9.55,2.96,2.97,7.12,1.31,17.05,0.11,-0.084,0.14
182,9.6,9.46,2.97,2.99,7.15,1.22,16.99,0.1,-0.083,0.14
183,9.64,9.49,2.95,2.97,7.17,1.26,17.13,0.1,-0.081,0.15
184,9.58,9.44,2.94,2.96,7.39,1.28,17.15,0.1,-0.082,0.15
185,9.59,9.44,2.94,2.96,7.32,1.31,17.24,0.1,-0.08,0.14
186,9.62,9.48,2.93,2.94,7.34,1.32,17.16,0.1,-0.077,0.14
187,9.62,9.48,2.93,2.94,7.34,1.32,17.16,0.1,-0.077,0.14
188,9.62,9.49,2.92,2.93,7.4,1.3,17.21,0.11,-0.069,0.14
189,9.59,9.45,2.93,2.95,7.31,1.2,17.15,0.12,-0.079,0.15
190,9.56,9.41,2.94,2.95,7.31,1.23,17.2,0.11,-0.072,0.14
191,9.58,9.44,2.92,2.93,7.31,1.24,17.3,0.12,-0.072,0.14
192,9.58,9.44,2.92,2.93,7.31,1.24,17.3,0.12,-0.072,0.14
193,9.53,9.4,2.92,2.93,7.46,1.26,17.35,0.12,-0.067,0.14
194,9.6,9.47,2.94,2.96,7.43,1.31,17.2,0.12,-0.073,0.14
195,9.61,9.49,2.93,2.95,7.41,1.33,17.27,0.12,-0.069,0.14
196,9.59,9.45,2.91,2.93,7.49,1.26,17.29,0.12,-0.065,0.14
197,9.59,9.45,2.91,2.93,7.49,1.26,17.29,0.12,-0.065,0.14
198,9.58,9.44,2.92,2.94,7.37,1.22,17.3,0.12,-0.065,0.14
199,9.58,9.44,2.91,2.93,7.4,1.22,17.4,0.13,-0.071,0.15
200,9.56,9.42,2.9,2.92,7.46,1.25,17.37,0.12,-0.062,0.14
201,9.56,9.42,2.9,2.92,7.46,1.25,17.37,0.12,-0.062,0.14
202,9.57,9.42,2.94,2.95,7.4,1.23,17.3,0.11,-0.078,0.14
203,9.59,9.45,2.92,2.94,7.45,1.25,17.32,0.11,-0.071,0.14
204,9.62,9.47,2.93,2.94,7.41,1.21,17.26,0.11,-0.064,0.14
205,9.62,9.47,2.96,2.98,7.27,1.26,17.36,0.11,-0.078,0.14
206,9.62,9.47,2.96,2.98,7.27,1.26,17.36,0.11,-0.078,0.14
207,9.65,9.52,2.98,2.99,7.41,1.29,17.37,0.11,-0.07,0.14
208,9.67,9.53,2.96,2.98,7.34,1.29,17.37,0.12,-0.07,0.14
209,9.64,9.5,2.95,2.97,7.47,1.25,17.32,0.12,-0.064,0.14
210,9.64,9.5,2.95,2.97,7.47,1.25,17.32,0.12,-0.064,0.14
211,9.61,9.48,2.94,2.96,7.43,1.15,17.06,0.11,-0.062,0.14
212,9.62,9.49,2.94,2.95,7.25,1.11,16.98,0.11,-0.068,0.14
213,9.6,9.47,2.95,2.96,7.36,1.06,16.99,0.11,-0.064,0.14
214,9.6,9.47,2.95,2.96,7.36,1.06,16.99,0.11,-0.064,0.14
215,9.67,9.53,2.94,2.95,7.44,1.03,17.13,0.11,-0.07,0.14
216,9.66,9.53,2.95,2.95,7.28,1.0,17.07,0.12,-0.066,0.14
217,9.67,9.53,2.95,2.95,7.47,0.99,17.16,0.11,-0.067,0.13
218,9.66,9.52,2.98,2.99,7.41,0.99,17.1,0.11,-0.071,0.13
219,9.66,9.52,2.98,2.99,7.41,0.99,17.1,0.11,-0.071,0.13
220,9.69,9.56,2.96,2.96,7.45,0.99,17.12,0.11,-0.067,0.13
221,9.69,9.55,2.97,2.97,7.46,0.99,17.16,0.11,-0.069,0.13
222,9.6,9.47,3.01,3.01,7.48,0.97,17.12,0.1,-0.067,0.13
223,9.6,9.47,3.01,3.01,7.48,0.97,17.12,0.1,-0.067,0.13
224,9.66,9.52,2.98,2.98,7.43,0.99,17.19,0.09,-0.071,0.13
225,9.52,9.4,2.99,3.0,7.35,0.99,17.06,0.09,-0.071,0.13
226,9.54,9.42,3.04,3.05,7.44,1.01,17.08,0.09,-0.071,0.13
227,9.58,9.45,3.02,3.02,7.41,1.01,16.95,0.1,-0.07,0.13
228,9.58,9.45,3.02,3.02,7.41,1.01,16.95,0.1,-0.07,0.13
229,9.52,9.39,3.06,3.07,7.41,1.03,16.89,0.1,-0.072,0.13
230,9.45,9.33,3.06,3.06,7.46,1.01,16.88,0.1,-0.07,0.13
231,9.38,9.25,2.98,2.99,7.45,1.0,16.95,0.11,-0.068,0.13
232,9.37,9.22,2.97,2.96,7.43,1.02,17.14,0.11,-0.068,0.13
233,9.37,9.22,2.97,2.96,7.43,1.02,17.14,0.11,-0.068,0.13
234,9.36,9.22,2.96,2.96,7.37,1.01,17.09,0.11,-0.068,0.13
235,9.62,9.46,3.05,3.05,7.33,1.01,17.17,0.11,-0.067,0.13
236,9.74,9.6,3.02,3.02,7.41,1.05,17.24,0.11,-0.067,0.13
237,9.45,9.31,2.95,2.94,7.46,1.07,17.28,0.1,-0.071,0.13
238,9.45,9.31,2.95,2.94,7.46,1.07,17.28,0.1,-0.071,0.13
239,9.22,9.08,2.92,2.91,7.52,1.11,17.3,0.09,-0.071,0.13
240,9.26,9.11,2.86,2.86,7.46,1.07,17.37,0.09,-0.07,0.13
241,9.4,9.24,2.92,2.92,7.61,1.06,17.36,0.09,-0.069,0.13
242,9.4,9.24,2.92,2.92,7.61,1.06,17.36,0.09,-0.069,0.13
243,9.69,9.54,3.05,3.04,7.39,1.04,17.23,0.08,-0.068,0.13
244,9.61,9.45,2.94,2.93,7.39,1.05,17.25,0.09,-0.071,0.13
245,9.34,9.19,2.94,2.93,7.46,1.09,17.4,0.09,-0.07,0.13
246,9.34,9.19,2.94,2.93,7.46,1.09,17.4,0.09,-0.07,0.13
247,9.29,9.14,2.91,2.9,7.59,1.06,17.38,0.08,-0.07,0.13
248,9.29,9.14,2.91,2.9,7.59,1.06,17.38,0.08,-0.07,0.13
249,9.27,9.13,2.93,2.94,7.6,1.07,17.4,0.09,-0.07,0.13
250,9.27,9.12,2.94,2.94,7.67,1.04,17.39,0.09,-0.069,0.13
251,9.27,9.12,2.94,2.94,7.67,1.04,17.39,0.09,-0.069,0.13
252,9.29,9.14,2.92,2.93,7.64,1.05,17.33,0.09,-0.07,0.13
253,9.8,9.64,3.02,3.02,7.32,1.03,17.25,0.11,-0.071,0.13
254,9.56,9.39,2.95,2.95,7.43,1.07,17.35,0.11,-0.067,0.13
255,9.56,9.39,2.95,2.95,7.43,1.07,17.35,0.11,-0.067,0.13
256,9.35,9.18,2.95,2.95,7.61,1.1,17.34,0.11,-0.069,0.13
257,9.5,9.34,2.9,2.9,7.57,1.06,17.28,0.1,-0.068,0.13
258,9.45,9.31,2.93,2.93,7.53,1.06,17.26,0.11,-0.066,0.13
259,9.45,9.29,2.99,2.99,7.54,1.06,17.21,0.11,-0.069,0.13
260,9.41,9.25,3.0,3.0,7.61,1.06,17.22,0.11,-0.068,0.13
261,9.42,9.26,3.0,3.0,7.58,1.05,17.2,0.12,-0.065,0.13
262,9.38,9.22,3.03,3.03,7.65,1.06,17.2,0.11,-0.067,0.13
263,9.39,9.23,3.03,3.03,7.63,1.07,17.22,0.11,-0.068,0.13
264,9.39,9.23,3.03,3.03,7.63,1.07,17.22,0.11,-0.068,0.13
265,9.41,9.25,2.98,2.98,7.66,1.08,17.23,0.1,-0.07,0.13
266,9.39,9.24,3.02,3.02,7.57,1.09,17.26,0.1,-0.072,0.13
267,9.4,9.24,3.0,3.0,7.61,1.07,17.23,0.1,-0.071,0.13
268,9.4,9.24,3.03,3.03,7.65,1.07,17.17,0.1,-0.07,0.13
269,9.4,9.24,3.03,3.03,7.65,1.07,17.17,0.1,-0.07,0.13
270,9.43,9.27,3.03,3.03,7.59,1.07,17.22,0.1,-0.071,0.13
271,9.37,9.22,3.04,3.04,7.66,1.09,17.18,0.11,-0.069,0.13
272,9.42,9.27,3.03,3.02,7.63,1.07,17.24,0.11,-0.069,0.13
273,9.42,9.27,3.02,3.01,7.67,1.09,17.22,0.1,-0.07,0.13
274,9.42,9.27,3.02,3.01,7.67,1.09,17.22,0.1,-0.07,0.13
275,9.4,9.24,3.06,3.05,7.66,1.09,17.19,0.1,-0.07,0.13
276,9.36,9.21,3.06,3.06,7.63,1.09,17.17,0.09,-0.072,0.13
277,9.43,9.28,3.01,3.01,7.59,1.08,17.2,0.09,-0.072,0.13
278,9.43,9.28,3.01,3.01,7.59,1.08,17.2,0.09,-0.072,0.13
279,9.44,9.28,3.04,3.04,7.58,1.09,17.16,0.09,-0.072,0.13
280,9.45,9.29,3.01,3.01,7.67,1.08,17.18,0.09,-0.071,0.13
281,9.43,9.26,3.06,3.06,7.63,1.07,17.16,0.09,-0.072,0.13
282,9.43,9.27,3.03,3.03,7.58,1.09,17.21,0.09,-0.072,0.13
283,9.43,9.27,3.03,3.03,7.58,1.09,17.21,0.09,-0.072,0.13
284,9.42,9.26,3.05,3.05,7.65,1.09,17.16,0.08,-0.072,0.13
285,9.45,9.3,3.01,3.01,7.64,1.08,17.24,0.09,-0.071,0.13
286,9.45,9.3,3.01,3.01,7.64,1.08,17.24,0.09,-0.071,0.13
287,9.38,9.21,3.05,3.05,7.65,1.08,17.18,0.08,-0.071,0.12
288,9.38,9.23,3.01,3.01,7.7,1.08,17.25,0.08,-0.07,0.12
289,9.39,9.23,3.06,3.05,7.72,1.08,17.23,0.08,-0.071,0.12
290,9.39,9.24,3.0,2.99,7.6,1.09,17.27,0.09,-0.072,0.12
291,9.36,9.21,3.07,3.06,7.7,1.09,17.19,0.08,-0.071,0.12
292,9.36,9.21,3.07,3.06,7.7,1.09,17.19,0.08,-0.071,0.12
293,9.39,9.24,3.0,2.99,7.66,1.08,17.24,0.08,-0.073,0.12
294,9.37,9.22,3.04,3.03,7.68,1.08,17.24,0.08,-0.074,0.12
295,9.36,9.22,3.03,3.03,7.64,1.08,17.25,0.09,-0.073,0.13
296,9.38,9.22,3.04,3.04,7.62,1.09,17.18,0.08,-0.076,0.13
297,9.38,9.22,3.04,3.04,7.62,1.09,17.18,0.08,-0.076,0.13
298,9.32,9.16,3.04,3.04,7.66,1.1,17.29,0.09,-0.076,0.13
299,9.34,9.19,3.05,3.05,7.67,1.08,17.26,0.09,-0.074,0.12
300,9.35,9.2,3.04,3.04,7.65,1.08,17.21,0.08,-0.075,0.12
301,9.35,9.2,3.04,3.04,7.65,1.08,17.21,0.08,-0.075,0.12
302,9.33,9.17,3.04,3.03,7.62,1.07,17.3,0.08,-0.075,0.12
303,9.34,9.18,3.04,3.04,7.7,1.08,17.26,0.08,-0.076,0.12
304,9.35,9.19,3.04,3.03,7.64,1.08,17.24,0.08,-0.076,0.12
305,9.32,9.18,3.03,3.03,7.7,1.07,17.28,0.08,-0.075,0.12
306,9.32,9.18,3.03,3.03,7.7,1.07,17.28,0.08,-0.075,0.12
307,9.25,9.09,3.06,3.05,7.75,1.06,17.33,0.08,-0.075,0.12
308,9.24,9.09,3.03,3.02,7.73,1.08,17.27,0.08,-0.075,0.12
